date,Nifty 500
2023-11-09,17218.9
2023-11-08,17259.7
2023-11-07,17187.8
2023-11-06,17159.4
2023-11-03,17000.95
2023-11-02,16890.8
2023-11-01,16732.95
2023-10-31,16801.1
2023-10-30,16826.1
2023-10-27,16765.45
2023-10-26,16555.45
2023-10-25,16760.8
2023-10-23,16888.7
2023-10-20,17208.75
2023-10-19,17310.5
2023-10-18,17344.0
2023-10-17,17467.7
2023-10-16,17393.0
2023-10-13,17390.35
2023-10-12,17419.7
2023-10-11,17407.35
2023-10-10,17303.35
2023-10-09,17127.7
2023-10-06,17293.6
2023-10-05,17195.8
2023-10-04,17123.1
2023-10-03,17254.4
2023-09-29,17292.6
2023-09-28,17170.45
2023-09-27,17341.6
2023-09-26,17276.75
2023-09-25,17272.55
2023-09-22,17260.8
2023-09-21,17303.5
2023-09-20,17449.35
2023-09-18,17613.6
2023-09-15,17665.8
2023-09-14,17603.5
2023-09-13,17526.75
2023-09-12,17460.55
2023-09-11,17653.35
2023-09-08,17487.45
2023-09-07,17385.5
2023-09-06,17284.6
2023-09-05,17252.1
2023-09-04,17180.95
2023-09-01,17074.55
2023-08-31,16924.3
2023-08-30,16968.95
2023-08-29,16927.3
2023-08-28,16875.3
2023-08-25,16820.85
2023-08-24,16930.15
2023-08-23,16950.25
2023-08-22,16905.25
2023-08-21,16852.05
2023-08-18,16757.7
2023-08-17,16802.25
2023-08-16,16853.05
2023-08-14,16825.55
2023-08-11,16860.15
2023-08-10,16939.85
2023-08-09,17003.85
2023-08-08,16949.25
2023-08-07,16956.35
2023-08-04,16890.6
2023-08-03,16772.3
2023-08-02,16858.95
2023-08-01,17051.15
2023-07-31,17059.0
2023-07-28,16948.35
2023-07-27,16919.2
2023-07-26,16975.0
2023-07-25,16896.9
2023-07-24,16865.15
2023-07-21,16904.3
2023-07-20,17042.55
2023-07-19,16953.5
2023-07-18,16872.0
2023-07-17,16872.05
2023-07-14,16765.45
2023-07-13,16623.9
2023-07-12,16641.05
2023-07-11,16648.0
2023-07-10,16553.75
2023-07-07,16564.9
2023-07-06,16695.05
2023-07-05,16597.2
2023-07-04,16556.05
2023-07-03,16527.95
2023-06-30,16430.0
2023-06-28,16277.2
2023-06-27,16163.5
2023-06-26,16066.15
2023-06-23,16011.8
2023-06-22,16140.8
2023-06-21,16240.95
2023-06-20,16199.95
2023-06-19,16142.15
2023-06-16,16181.45
2023-06-15,16058.25
2023-06-14,16084.05
2023-06-13,16048.2
2023-06-12,15929.1
2023-06-09,15877.4
2023-06-08,15921.05
2023-06-07,16006.7
2023-06-06,15878.4
2023-06-05,15859.5
2023-06-02,15811.2
2023-06-01,15760.35
2023-05-31,15766.4
2023-05-30,15799.45
2023-05-29,15772.35
2023-05-26,15696.75
2023-05-25,15555.25
2023-05-24,15515.95
2023-05-23,15544.75
2023-05-22,15504.0
2023-05-19,15407.55
2023-05-18,15361.6
2023-05-17,15426.35
2023-05-16,15492.4
2023-05-15,15549.7
2023-05-12,15477.35
2023-05-11,15484.05
2023-05-10,15466.05
2023-05-09,15420.6
2023-05-08,15427.1
2023-05-05,15278.6
2023-05-04,15405.5
2023-05-03,15276.4
2023-05-02,15300.75
2023-04-28,15219.55
2023-04-27,15075.05
2023-04-26,14994.4
2023-04-25,14955.7
2023-04-24,14930.15
2023-04-21,14847.1
2023-04-20,14861.75
2023-04-19,14856.9
2023-04-18,14897.0
2023-04-17,14904.3
2023-04-13,14954.25
2023-04-12,14941.55
2023-04-11,14867.25
2023-04-10,14790.55
2023-04-06,14759.2
2023-04-05,14709.4
2023-04-03,14601.95
2023-03-31,14557.85
2023-03-29,14345.6
2023-03-28,14211.8
2023-03-27,14262.7
2023-03-24,14279.0
2023-03-23,14403.6
2023-03-22,14460.0
2023-03-21,14411.3
2023-03-20,14317.1
2023-03-17,14420.85
2023-03-16,14330.35
2023-03-15,14320.3
2023-03-14,14358.55
2023-03-13,14454.45
2023-03-10,14679.85
2023-03-09,14803.95
2023-03-08,14921.95
2023-03-06,14881.0
2023-03-03,14774.75
2023-03-02,14587.25
2023-03-01,14664.85
2023-02-28,14518.75
2023-02-27,14548.7
2023-02-24,14630.45
2023-02-23,14666.75
2023-02-22,14701.9
2023-02-21,14913.95
2023-02-20,14938.65
2023-02-17,15003.95
2023-02-16,15083.75
2023-02-15,15039.65
2023-02-14,14968.9
2023-02-13,14900.5
2023-02-10,15015.85
2023-02-09,15030.1
2023-02-08,15028.3
2023-02-07,14902.2
2023-02-06,14934.15
2023-02-03,14962.35
2023-02-02,14839.4
2023-02-01,14847.65
2023-01-31,14935.5
2023-01-30,14854.2
2023-01-27,14874.75
2023-01-25,15171.95
2023-01-24,15388.55
2023-01-23,15403.2
2023-01-20,15347.9
2023-01-19,15419.7
2023-01-18,15466.35
2023-01-17,15396.15
2023-01-16,15305.45
2023-01-13,15346.1
2023-01-12,15279.6
2023-01-11,15301.35
2023-01-10,15325.25
2023-01-09,15450.1
2023-01-06,15272.0
2023-01-05,15386.2
2023-01-04,15393.0
2023-01-03,15557.8
2023-01-02,15523.65
